sa1,pop
1154102,477
1154103,702
1154104,284
1154105,391
1154106,521
1154107,595
1154108,326
1154109,426
1154110,562
1154111,589
1154112,456
1154113,386
1154114,145
1154201,286
1154202,205
1154203,208
1154204,312
1154205,740
1154206,254
1154207,236
1154208,381
1154209,364
1154210,367
1154211,287
1154212,286
1154213,475
1154214,513
1154215,8
1154216,413
1154217,677
1154218,255
1154219,334
1154220,286
1154221,249
1154222,280
1154223,451
1154224,253
1154225,439
1154226,297
1154227,254
1154228,451
1154229,103
1154230,258
1154231,407
1154232,166
1154233,360
1154234,354
1154235,301
1154301,589
1154302,347
1154303,437
1154304,337
1154305,381
1154306,560
1154307,144
1154308,502
1154309,290
1154310,197
1154311,264
1154312,332
1154313,427
1154314,441
1154315,436
1154316,547
1154317,182
1154318,302
1154319,306
1154320,122
1154321,396
1154322,507
1154323,235
1154324,237
1154325,492
1154326,423
1154327,254
1154328,380
1154329,216
1154330,308
1154401,168
1154402,262
1154403,301
1154404,390
1154405,300
1154406,217
1154407,521
1154408,357
1154409,351
1154410,331
1154411,437
1154412,326
1154413,287
1154414,362
1154415,404
1154416,322
1154417,602
1154418,411
1154419,365
1154420,243
1154421,373
1102801,0
1102802,609
1102803,614
1102804,240
1102805,330
1102806,528
1102807,421
1102808,393
1102809,639
1102810,486
1102811,434
1102812,421
1102813,340
1102814,410
1102815,390
1102816,254
1102817,391
1102818,419
1102901,316
1102902,299
1102903,444
1102904,529
1102905,396
1102906,224
1102907,306
1102908,388
1102909,368
1102910,480
1102911,478
1102912,435
1102913,323
1102914,281
1102915,514
1102916,391
1102917,244
1102918,384
1102919,373
1102920,6
1102921,0
1102922,532
1102923,370
1102924,499
1102925,557
1102926,315
1102927,577
1102928,688
1103002,590
1103003,249
1103004,375
1103005,268
1103006,385
1103007,389
1103008,217
1103009,366
1103010,411
1103011,593
1103012,394
1103013,27
1103014,446
1103101,336
1103102,306
1103103,373
1103104,477
1103105,472
1103106,247
1103107,33
1103108,254
1103109,247
1103110,462
1103111,353
1103112,163
1103113,464
1103114,473
1103115,517
1103116,500
1103117,350
1103118,363
1103119,425
1103120,391
1103121,285
1103122,404
1103123,385
1103124,329
1103125,256
1103126,405
1103127,354
1103128,407
1103129,548
1103130,313
1103131,670
1103132,0
1103133,399
1103134,422
1103135,411
1103136,401
1103137,218
1103138,542
1103201,402
1103202,486
1103203,720
1103204,680
1103205,239
1103206,71
1103207,298
1103208,446
1103210,169
1103211,575
1103212,472
1103213,90
1103214,605
1103215,211
1103216,320
1103217,160
1103218,444
1103219,358
1103220,352
1103221,285
1103223,5
1103224,460
1103225,233
1103226,234
1103227,562
1103228,699
1103229,447
1103230,524
1103231,498
1103232,464
1103233,360
1103234,745
1103235,374
1103236,462
1103237,330
1103238,360
1103239,597
1103240,375
1103241,422
1103242,625
1103243,524
1103244,646
1103245,324
1103246,337
1103247,408
1103248,388
1103301,220
1103302,495
1103303,394
1103304,336
1103305,304
1103306,264
1103307,208
1103308,413
1103309,192
1103310,329
1103311,379
1103312,316
1103313,299
1103314,356
1103315,766
1103316,0
1103317,525
1103318,201
1103319,365
1103320,0
1103401,408
1103402,315
1103403,608
1103404,269
1103405,396
1103406,153
1103407,299
1103408,331
1103409,321
1103410,396
1103411,486
1103412,531
1103413,372
1103414,429
1103415,192
1103416,413
1103417,408
1103418,664
1103419,311
1103501,629
1103502,314
1103503,503
1103504,462
1103505,437
1103506,561
1103507,317
1103508,469
1103509,347
1103510,469
1103511,514
1103512,315
1103513,314
1103514,387
1103515,283
1103516,276
1103517,45
1103601,221
1103602,232
1103603,516
1103604,280
1103605,407
1103606,302
1103607,210
1103608,517
1103609,376
1103610,534
1103611,346
1103612,172
1103613,377
1103614,523
1103615,252
1103616,314
1103617,362
1103618,257
1103619,497
1103620,497
1103621,551
1103622,275
1103701,655
1103702,503
1103703,669
1103704,228
1103705,476
1103706,377
1103707,490
1103708,232
1103709,635
1103710,378
1103711,321
1103712,279
1103713,518
1103714,439
1103801,451
1103802,511
1103803,378
1103804,505
1103805,280
1103806,273
1103807,430
1103808,290
1103809,549
1103810,334
1103811,486
1103812,357
1103813,547
1103814,499
1103815,332
1103816,431
1103817,339
1103901,655
1103902,391
1103903,314
1103904,573
1103905,420
1103906,462
1103908,441
1103909,592
1103911,586
1103912,562
1103913,611
1103914,345
1103915,482
1103916,484
1103917,363
1103918,539
1103919,408
1103920,610
1103921,583
1103922,538
1103923,310
1103924,209
1103925,444
1103926,629
1103927,465
1103928,432
1103929,402
1103930,169
1103931,306
1104001,352
1104002,324
1104003,280
1104004,447
1104005,313
1104006,493
1104007,338
1104008,3
1104009,526
1104010,338
1104011,362
1104012,328
1104013,577
1104014,513
1104015,192
1104016,538
1104017,636
1104018,452
1104019,486
1104020,460
1104021,451
1104022,236
1104023,289
1104024,513
1104025,280
1104026,623
1104027,305
1104028,382
1104029,432
1104030,403
1104031,343
1104032,229
1104033,400
1104034,530
1104035,334
1104036,382
1104037,298
1104038,340
1104039,613
1104040,379
1104041,257
